system:index,cloudiness,scene_id,timestamp,.geo,datetime,formatted_datetime
20230102T113359_20230102T113400_T30UVE,29.278573,20230102T113359_20230102T113400_T30UVE,1672659380393.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-02 11:36:20.393,2023 01 02 11 36 20
20230102T113359_20230102T113400_T30UVF,19.251442,20230102T113359_20230102T113400_T30UVF,1672659366288.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-02 11:36:06.288,2023 01 02 11 36 06
20230102T113359_20230102T113400_T30UWE,31.680128,20230102T113359_20230102T113400_T30UWE,1672659375249.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-02 11:36:15.249,2023 01 02 11 36 15
20230102T113359_20230102T113400_T30UWF,1.437297,20230102T113359_20230102T113400_T30UWF,1672659361450.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-02 11:36:01.450,2023 01 02 11 36 01
20230104T112451_20230104T112448_T30UVE,96.322513,20230104T112451_20230104T112448_T30UVE,1672831583885.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-04 11:26:23.885,2023 01 04 11 26 23
20230104T112451_20230104T112448_T30UVF,93.18015,20230104T112451_20230104T112448_T30UVF,1672831569584.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-04 11:26:09.584,2023 01 04 11 26 09
20230104T112451_20230104T112448_T30UWE,90.852022,20230104T112451_20230104T112448_T30UWE,1672831579843.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-04 11:26:19.843,2023 01 04 11 26 19
20230104T112451_20230104T112448_T30UWF,61.954635,20230104T112451_20230104T112448_T30UWF,1672831565423.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-04 11:26:05.423,2023 01 04 11 26 05
20230107T113451_20230107T113447_T30UVE,24.376442,20230107T113451_20230107T113447_T30UVE,1673091380637.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-07 11:36:20.637,2023 01 07 11 36 20
20230107T113451_20230107T113447_T30UVF,31.505528,20230107T113451_20230107T113447_T30UVF,1673091366536.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-07 11:36:06.536,2023 01 07 11 36 06
20230107T113451_20230107T113447_T30UWE,35.632411,20230107T113451_20230107T113447_T30UWE,1673091375444.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-07 11:36:15.444,2023 01 07 11 36 15
20230107T113451_20230107T113447_T30UWF,79.383636,20230107T113451_20230107T113447_T30UWF,1673091361704.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-07 11:36:01.704,2023 01 07 11 36 01
20230109T112339_20230109T112340_T30UVE,37.53452,20230109T112339_20230109T112340_T30UVE,1673263581462.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-09 11:26:21.462,2023 01 09 11 26 21
20230109T112339_20230109T112340_T30UVF,40.752202,20230109T112339_20230109T112340_T30UVF,1673263567134.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-09 11:26:07.134,2023 01 09 11 26 07
20230109T112339_20230109T112340_T30UWE,56.000423,20230109T112339_20230109T112340_T30UWE,1673263577414.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-09 11:26:17.414,2023 01 09 11 26 17
20230109T112339_20230109T112340_T30UWF,42.512766,20230109T112339_20230109T112340_T30UWF,1673263562994.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-09 11:26:02.994,2023 01 09 11 26 02
20230112T113339_20230112T113334_T30UVE,81.482679,20230112T113339_20230112T113334_T30UVE,1673523377214.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-12 11:36:17.214,2023 01 12 11 36 17
20230112T113339_20230112T113334_T30UVF,66.182077,20230112T113339_20230112T113334_T30UVF,1673523363095.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-12 11:36:03.095,2023 01 12 11 36 03
20230112T113339_20230112T113334_T30UWE,99.988461,20230112T113339_20230112T113334_T30UWE,1673523372111.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-01-12 11:36:12.111,2023 01 12 11 36 12
