Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1),01/01/2023,00:00:00,,,,,3.173,,,,,,,
2),01/01/2023,00:15:00,,,,,3.106,,,,,,,
3),01/01/2023,00:30:00,,,,,3.076,,,,,,,
4),01/01/2023,00:45:00,,,,,3.088,,,,,,,
5),01/01/2023,01:00:00,,,,,3.132,,,,,,,
6),01/01/2023,01:15:00,,,,,3.239,,,,,,,
7),01/01/2023,01:30:00,,,,,3.349,,,,,,,
8),01/01/2023,01:45:00,,,,,3.476,,,,,,,
9),01/01/2023,02:00:00,,,,,3.659,,,,,,,
10),01/01/2023,02:15:00,,,,,3.894,,,,,,,
11),01/01/2023,02:30:00,,,,,4.187,,,,,,,
12),01/01/2023,02:45:00,,,,,4.491,,,,,,,
13),01/01/2023,03:00:00,,,,,4.794,,,,,,,
14),01/01/2023,03:15:00,,,,,5.101,,,,,,,
15),01/01/2023,03:30:00,,,,,5.424,,,,,,,
16),01/01/2023,03:45:00,,,,,5.743,,,,,,,
17),01/01/2023,04:00:00,,,,,6.075,,,,,,,
18),01/01/2023,04:15:00,,,,,6.404,,,,,,,
19),01/01/2023,04:30:00,,,,,6.717,,,,,,,
20),01/01/2023,04:45:00,,,,,7.004,,,,,,,
21),01/01/2023,05:00:00,,,,,7.264,,,,,,,
22),01/01/2023,05:15:00,,,,,7.502,,,,,,,
23),01/01/2023,05:30:00,,,,,7.7,,,,,,,
24),01/01/2023,05:45:00,,,,,7.861,,,,,,,
25),01/01/2023,06:00:00,,,,,7.97,,,,,,,
26),01/01/2023,06:15:00,,,,,8.052,,,,,,,
27),01/01/2023,06:30:00,,,,,8.121,,,,,,,
28),01/01/2023,06:45:00,,,,,8.132,,,,,,,
29),01/01/2023,07:00:00,,,,,8.056,,,,,,,
30),01/01/2023,07:15:00,,,,,7.99,,,,,,,
31),01/01/2023,07:30:00,,,,,7.883,,,,,,,
32),01/01/2023,07:45:00,,,,,7.731,,,,,,,
33),01/01/2023,08:00:00,,,,,7.569,,,,,,,
34),01/01/2023,08:15:00,,,,,7.371,,,,,,,
35),01/01/2023,08:30:00,,,,,7.125,,,,,,,
36),01/01/2023,08:45:00,,,,,6.883,,,,,,,
37),01/01/2023,09:00:00,,,,,6.622,,,,,,,
38),01/01/2023,09:15:00,,,,,6.345,,,,,,,
39),01/01/2023,09:30:00,,,,,6.068,,,,,,,
40),01/01/2023,09:45:00,,,,,5.779,,,,,,,
41),01/01/2023,10:00:00,,,,,5.516,,,,,,,
42),01/01/2023,10:15:00,,,,,5.247,,,,,,,
43),01/01/2023,10:30:00,,,,,4.983,,,,,,,
44),01/01/2023,10:45:00,,,,,4.75,,,,,,,
45),01/01/2023,11:00:00,,,,,4.52,,,,,,,
46),01/01/2023,11:15:00,,,,,4.286,,,,,,,
